tipo_de_propiedad,descripcion
01,Aparthotel
02,Apartment
03,Barn
04,Bed and breakfast
05,Boat
06,Boutique hotel
07,Bungalow
08,Bus
09,Cabin
10,Camper/RV
11,Campsite
12,Casa particular (Cuba)
13,Cave
14,Chalet
15,Condominium
16,Cottage
17,Cycladic house (Greece)
18,Dome house
19,Dorm
20,Earth house
21,Farm stay
22,Guest suite
23,Guesthouse
24,Hostel
25,Hotel
26,House
27,Hut
28,In-law
29,Loft
30,Nature lodge
31,Other
32,Resort
33,Serviced apartment
34,Tiny house
35,Townhouse
36,Treehouse
37,Villa
