1,Mexico,,,,,,,,,,,
2,Guadalajara,,,,,,,,,,,
3,Monterrey,,,,,,,,,,,
4,Puebla,,,,,,,,,,,
5,Leon,,,,,,,,,,,
7,San Luis Potosi,,,,,,,,,,,
8,Merida,,,,,,,,,,,
9,Chihuahua,,,,,,,,,,,
10,Tampico,,,,,,,,,,,
12,Veracruz,,,,,,,,,,,
13,Acapulco,,,,,,,,,,, 
14,Aguascalientes,,,,,,,,,,,
15,Morelia,,,,,,,,,,,
16,Toluca,,,,,,,,,,,
17,Saltillo,,,,,,,,,,,
18,Villahermosa,,,,,,,,,,,
19,Tuxtla Gutierrez,,,,,,,,,,,
21,Tijuana,,,,,,,,,,,
24,Culiacan,,,,,,,,,,,
25,Hermosillo,,,,,,,,,,,
26,Durango,,,,,,,,,,,
27,Tepic,,,,,,,,,,,
28,Campeche,,,,,,,,,,,
29,Cuernavaca,,,,,,,,,,,
31,Oaxaca,,,,,,,,,,,
32,Zacatecas,,,,,,,,,,,
33,Colima,,,,,,,,,,,
36,Queretaro,,,,,,,,,,,
39,Tlaxcala,,,,,,,,,,,
40,La Paz,,,,,,,,,,,
41,Cancun,,,,,,,,,,,
43,Pachuca,,,,,,,,,,,
